FEEDBACK_TEXT,FEEDBACK_PAGE,FEEDBACK_QUESTION,USER_TYPE,clean_text,sentiment,scores
The interface was clunky and slow.,CurrentIncomeDetails,How satisfied are you with the overall experience on this page?,Agent,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
"Great user experience, everything was intuitive.",EligibilityResult,How satisfied are you with the overall experience on this page?,Individual,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
The interface was clunky and slow.,reviewEligibility,Was there any difficulty in completing the task?,Agent,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
It was confusing and difficult to understand.,additionalInformation,How easy was the page to navigate?,Agent,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
The process was smooth and easy to follow.,CareTakerRelationship,How easy was the page to navigate?,Individual,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
Instructions were clear and helpful.,CurrentIncomeDetails,How easy was the page to navigate?,Individual,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
Instructions were clear and helpful.,additionalInformation,Was there any difficulty in completing the task?,Agent,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
"Not user-friendly, hard to navigate.",SignAndSubmit,How easy was the page to navigate?,Individual,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
"Not user-friendly, hard to navigate.",primarycontactInfo,Was the information on the page clear?,Assister,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
It was confusing and difficult to understand.,reviewEligibility,How satisfied are you with the overall experience on this page?,Assister,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
It was confusing and difficult to understand.,additionalInformation,Was the information on the page clear?,Individual,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
The process was smooth and easy to follow.,PersonalInfomration,How easy was the page to navigate?,Individual,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
"Not user-friendly, hard to navigate.",householdInfomration,Was the information on the page clear?,Agent,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
I experienced several errors and had to reload.,householdInfomration,How easy was the page to navigate?,Individual,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
I experienced several errors and had to reload.,reviewEligibility,Was there any difficulty in completing the task?,Agent,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
The process was smooth and easy to follow.,SignAndSubmit,Was the information on the page clear?,Assister,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
I experienced several errors and had to reload.,householdInfomration,Was there any difficulty in completing the task?,Individual,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
Very satisfied with the ease of use.,additionalInformation,Was there any difficulty in completing the task?,Agent,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
I had trouble finding the information I needed.,CareTakerRelationship,Did you find all the information you needed?,Agent,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
The process was smooth and easy to follow.,EligibilityResult,How easy was the page to navigate?,Assister,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
The process was smooth and easy to follow.,EligibilityResult,How satisfied are you with the overall experience on this page?,Individual,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
"The page loaded quickly, and the information was clear.",CurrentIncomeDetails,How easy was the page to navigate?,Assister,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
"Great user experience, everything was intuitive.",incomeReported,How satisfied are you with the overall experience on this page?,Agent,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
"Great user experience, everything was intuitive.",primarycontactInfo,How easy was the page to navigate?,Agent,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
Very satisfied with the ease of use.,reviewEligibility,Was there any difficulty in completing the task?,Individual,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
"Not user-friendly, hard to navigate.",CurrentIncomeDetails,Was the information on the page clear?,Agent,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
It was confusing and difficult to understand.,incomeReported,Was the information on the page clear?,Individual,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
It was confusing and difficult to understand.,SignAndSubmit,Did you find all the information you needed?,Assister,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
The interface was clunky and slow.,PersonalInfomration,How satisfied are you with the overall experience on this page?,Individual,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
Very satisfied with the ease of use.,PersonalInfomration,How satisfied are you with the overall experience on this page?,Individual,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
The process was smooth and easy to follow.,primarycontactInfo,How satisfied are you with the overall experience on this page?,Agent,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
Very satisfied with the ease of use.,householdInfomration,Was there any difficulty in completing the task?,Agent,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
Very satisfied with the ease of use.,additionalInformation,How satisfied are you with the overall experience on this page?,Individual,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
Very satisfied with the ease of use.,CurrentIncomeDetails,Was the information on the page clear?,Agent,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
"Great user experience, everything was intuitive.",CurrentIncomeDetails,Was there any difficulty in completing the task?,Agent,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
Very satisfied with the ease of use.,reviewEligibility,How easy was the page to navigate?,Agent,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
I had trouble finding the information I needed.,reviewEligibility,How satisfied are you with the overall experience on this page?,Individual,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
It was confusing and difficult to understand.,PersonalInfomration,How satisfied are you with the overall experience on this page?,Agent,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
The interface was clunky and slow.,PersonalInfomration,How easy was the page to navigate?,Individual,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
I had trouble finding the information I needed.,CareTakerRelationship,How satisfied are you with the overall experience on this page?,Agent,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
The interface was clunky and slow.,CareTakerRelationship,How easy was the page to navigate?,Assister,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
"The page loaded quickly, and the information was clear.",householdInfomration,Was there any difficulty in completing the task?,Agent,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
The interface was clunky and slow.,CareTakerRelationship,Was the information on the page clear?,Agent,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
It was confusing and difficult to understand.,additionalInformation,How easy was the page to navigate?,Individual,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
It was confusing and difficult to understand.,additionalInformation,Did you find all the information you needed?,Individual,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
Very satisfied with the ease of use.,CurrentIncomeDetails,How easy was the page to navigate?,Agent,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
Instructions were clear and helpful.,EligibilityResult,How satisfied are you with the overall experience on this page?,Assister,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
"The page loaded quickly, and the information was clear.",additionalInformation,Was there any difficulty in completing the task?,Agent,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
The process was smooth and easy to follow.,incomeReported,Was there any difficulty in completing the task?,Agent,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
I experienced several errors and had to reload.,PersonalInfomration,How easy was the page to navigate?,Assister,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
The interface was clunky and slow.,reviewEligibility,Was the information on the page clear?,Individual,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
Instructions were clear and helpful.,CareTakerRelationship,Did you find all the information you needed?,Agent,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
Very satisfied with the ease of use.,CurrentIncomeDetails,Was there any difficulty in completing the task?,Individual,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
"Great user experience, everything was intuitive.",primarycontactInfo,How satisfied are you with the overall experience on this page?,Individual,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
The process was smooth and easy to follow.,reviewEligibility,How satisfied are you with the overall experience on this page?,Assister,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
"Not user-friendly, hard to navigate.",incomeReported,Was the information on the page clear?,Assister,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
Instructions were clear and helpful.,CareTakerRelationship,Was there any difficulty in completing the task?,Individual,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
"Great user experience, everything was intuitive.",incomeReported,How easy was the page to navigate?,Agent,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
"The page loaded quickly, and the information was clear.",PersonalInfomration,How satisfied are you with the overall experience on this page?,Individual,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
Very satisfied with the ease of use.,PersonalInfomration,Was the information on the page clear?,Agent,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
The process was smooth and easy to follow.,householdInfomration,Was there any difficulty in completing the task?,Agent,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
The process was smooth and easy to follow.,CurrentIncomeDetails,Was there any difficulty in completing the task?,Assister,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
The process was smooth and easy to follow.,reviewEligibility,Was there any difficulty in completing the task?,Agent,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
"The page loaded quickly, and the information was clear.",SignAndSubmit,Was there any difficulty in completing the task?,Agent,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
The interface was clunky and slow.,SignAndSubmit,Was there any difficulty in completing the task?,Individual,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
"Not user-friendly, hard to navigate.",reviewEligibility,How satisfied are you with the overall experience on this page?,Assister,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
"The page loaded quickly, and the information was clear.",primarycontactInfo,Was the information on the page clear?,Agent,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
I experienced several errors and had to reload.,CurrentIncomeDetails,Was there any difficulty in completing the task?,Agent,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"Not user-friendly, hard to navigate.",incomeReported,Did you find all the information you needed?,Assister,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
It was confusing and difficult to understand.,primarycontactInfo,Did you find all the information you needed?,Individual,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
Very satisfied with the ease of use.,EligibilityResult,Was the information on the page clear?,Assister,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
"The page loaded quickly, and the information was clear.",reviewEligibility,How easy was the page to navigate?,Assister,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
"Great user experience, everything was intuitive.",incomeReported,How easy was the page to navigate?,Agent,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
"Not user-friendly, hard to navigate.",SignAndSubmit,How easy was the page to navigate?,Agent,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
I experienced several errors and had to reload.,additionalInformation,Did you find all the information you needed?,Individual,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
It was confusing and difficult to understand.,householdInfomration,How easy was the page to navigate?,Agent,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
The interface was clunky and slow.,SignAndSubmit,How satisfied are you with the overall experience on this page?,Agent,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
"Great user experience, everything was intuitive.",CurrentIncomeDetails,Was there any difficulty in completing the task?,Assister,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
"Not user-friendly, hard to navigate.",PersonalInfomration,Did you find all the information you needed?,Agent,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
Very satisfied with the ease of use.,additionalInformation,Was the information on the page clear?,Individual,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
"Great user experience, everything was intuitive.",householdInfomration,Was the information on the page clear?,Assister,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
It was confusing and difficult to understand.,householdInfomration,Was there any difficulty in completing the task?,Individual,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
"Great user experience, everything was intuitive.",EligibilityResult,Did you find all the information you needed?,Assister,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
I had trouble finding the information I needed.,EligibilityResult,How easy was the page to navigate?,Agent,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
Instructions were clear and helpful.,CareTakerRelationship,How easy was the page to navigate?,Assister,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
The interface was clunky and slow.,SignAndSubmit,How satisfied are you with the overall experience on this page?,Assister,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
It was confusing and difficult to understand.,SignAndSubmit,How satisfied are you with the overall experience on this page?,Agent,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
"Great user experience, everything was intuitive.",SignAndSubmit,How easy was the page to navigate?,Agent,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
Instructions were clear and helpful.,CareTakerRelationship,Was the information on the page clear?,Individual,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
Instructions were clear and helpful.,primarycontactInfo,Was the information on the page clear?,Individual,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
"Great user experience, everything was intuitive.",householdInfomration,How satisfied are you with the overall experience on this page?,Agent,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
Very satisfied with the ease of use.,additionalInformation,Was there any difficulty in completing the task?,Agent,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
I had trouble finding the information I needed.,CurrentIncomeDetails,How easy was the page to navigate?,Agent,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"The page loaded quickly, and the information was clear.",householdInfomration,How satisfied are you with the overall experience on this page?,Assister,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
I had trouble finding the information I needed.,EligibilityResult,How satisfied are you with the overall experience on this page?,Assister,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"Great user experience, everything was intuitive.",incomeReported,How easy was the page to navigate?,Assister,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
The interface was clunky and slow.,PersonalInfomration,How easy was the page to navigate?,Agent,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
"The page loaded quickly, and the information was clear.",CareTakerRelationship,Was the information on the page clear?,Individual,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
It was confusing and difficult to understand.,reviewEligibility,Was there any difficulty in completing the task?,Agent,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
I had trouble finding the information I needed.,incomeReported,Was there any difficulty in completing the task?,Assister,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"Great user experience, everything was intuitive.",CurrentIncomeDetails,How easy was the page to navigate?,Assister,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
I had trouble finding the information I needed.,SignAndSubmit,Did you find all the information you needed?,Agent,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"The page loaded quickly, and the information was clear.",EligibilityResult,How satisfied are you with the overall experience on this page?,Agent,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
I experienced several errors and had to reload.,EligibilityResult,How satisfied are you with the overall experience on this page?,Assister,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"Not user-friendly, hard to navigate.",EligibilityResult,How easy was the page to navigate?,Assister,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
I had trouble finding the information I needed.,SignAndSubmit,Did you find all the information you needed?,Assister,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
It was confusing and difficult to understand.,reviewEligibility,Was the information on the page clear?,Agent,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
It was confusing and difficult to understand.,CareTakerRelationship,How easy was the page to navigate?,Assister,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
The process was smooth and easy to follow.,incomeReported,How easy was the page to navigate?,Assister,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
I had trouble finding the information I needed.,SignAndSubmit,How satisfied are you with the overall experience on this page?,Individual,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"Not user-friendly, hard to navigate.",CurrentIncomeDetails,How easy was the page to navigate?,Agent,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
Very satisfied with the ease of use.,CareTakerRelationship,How easy was the page to navigate?,Individual,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
Instructions were clear and helpful.,CurrentIncomeDetails,How easy was the page to navigate?,Individual,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
"Not user-friendly, hard to navigate.",CareTakerRelationship,How satisfied are you with the overall experience on this page?,Assister,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
Instructions were clear and helpful.,reviewEligibility,Was the information on the page clear?,Agent,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
Instructions were clear and helpful.,PersonalInfomration,Was the information on the page clear?,Assister,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
I experienced several errors and had to reload.,CurrentIncomeDetails,How easy was the page to navigate?,Agent,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
The process was smooth and easy to follow.,SignAndSubmit,How satisfied are you with the overall experience on this page?,Individual,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
"Not user-friendly, hard to navigate.",CareTakerRelationship,Was the information on the page clear?,Agent,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
"Not user-friendly, hard to navigate.",EligibilityResult,Was the information on the page clear?,Assister,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
I experienced several errors and had to reload.,householdInfomration,Was the information on the page clear?,Assister,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
I had trouble finding the information I needed.,EligibilityResult,How satisfied are you with the overall experience on this page?,Assister,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
I had trouble finding the information I needed.,primarycontactInfo,How satisfied are you with the overall experience on this page?,Agent,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
I had trouble finding the information I needed.,PersonalInfomration,How easy was the page to navigate?,Individual,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
The interface was clunky and slow.,PersonalInfomration,Was there any difficulty in completing the task?,Individual,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
Instructions were clear and helpful.,EligibilityResult,Was the information on the page clear?,Agent,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
The interface was clunky and slow.,incomeReported,Was there any difficulty in completing the task?,Assister,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
The process was smooth and easy to follow.,reviewEligibility,How satisfied are you with the overall experience on this page?,Individual,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
I experienced several errors and had to reload.,CurrentIncomeDetails,How satisfied are you with the overall experience on this page?,Assister,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
